initialization 19.0548920631
reconstruction 1 8.83071613312
boundary 1 7.74084401131
fluxes 1 25.7727451324
rhs 1 48.2704000473
update 1 3.92682600021
reconstruction 2 3.5513510704
boundary 2 6.77928805351
fluxes 2 23.1080088615
rhs 2 47.7386419773
update 2 3.25492715836
reconstruction 3 3.55850505829
boundary 3 6.77849602699
fluxes 3 23.1780838966
rhs 3 47.8417418003
update 3 3.25355410576
reconstruction 4 3.55258703232
boundary 4 6.77839612961
fluxes 4 23.2049000263
rhs 4 47.7764499187
update 4 3.25924015045
reconstruction 5 3.56923484802
boundary 5 6.7190349102
fluxes 5 22.7008910179
rhs 5 47.7907161713
update 5 3.25702810287
reconstruction 6 3.55159807205
boundary 6 6.72203207016
fluxes 6 22.660959959
rhs 6 47.7649171352
update 6 3.25631999969
reconstruction 7 3.56833100319
boundary 7 6.71953511238
fluxes 7 22.5877840519
rhs 7 47.7087910175
update 7 3.24948501587
reconstruction 8 3.55031490326
boundary 8 6.72100901604
fluxes 8 22.5258049965
rhs 8 47.6411838531
update 8 3.2489130497
reconstruction 9 3.56813907623
boundary 9 6.72066783905
fluxes 9 22.4369320869
rhs 9 47.5778820515
update 9 3.2415599823
reconstruction 10 3.55256605148
boundary 10 6.71846318245
fluxes 10 22.3629260063
rhs 10 47.5154938698
update 10 3.23936200142
reconstruction 11 3.56704211235
boundary 11 6.72105908394
fluxes 11 22.2968690395
rhs 11 47.4589831829
update 11 3.23419499397
reconstruction 12 3.55156707764
boundary 12 6.72069501877
fluxes 12 22.2378270626
rhs 12 47.404761076
update 12 3.23357796669
reconstruction 13 3.5687289238
boundary 13 6.72028207779
fluxes 13 22.1823840141
rhs 13 47.3565001488
update 13 3.22824811935
reconstruction 14 3.55201005936
boundary 14 6.71901512146
fluxes 14 22.14387393
rhs 14 47.325152874
update 14 3.22969079018
reconstruction 15 3.56810903549
boundary 15 6.72118496895
fluxes 15 22.1133129597
rhs 15 47.3001520634
update 15 3.22032499313
reconstruction 16 3.550604105
boundary 16 6.72169494629
fluxes 16 22.1023719311
rhs 16 47.2870419025
update 16 3.21683001518
reconstruction 17 3.56826901436
boundary 17 6.72062110901
fluxes 17 22.0986659527
rhs 17 47.2869799137
update 17 3.21302914619
reconstruction 18 3.55023908615
boundary 18 6.71997594833
fluxes 18 22.1020269394
rhs 18 47.2854409218
update 18 3.22429895401
reconstruction 19 3.56939697266
boundary 19 6.71891593933
fluxes 19 22.1012060642
rhs 19 47.2821650505
update 19 3.21293497086
reconstruction 20 3.55047488213
boundary 20 6.72084403038
fluxes 20 22.0997598171
rhs 20 47.2869000435
update 20 3.21547412872
reconstruction 21 3.56761598587
boundary 21 6.72130513191
fluxes 21 22.1015779972
rhs 21 47.2914690971
update 21 3.21453809738
reconstruction 22 3.55037593842
boundary 22 6.71998691559
fluxes 22 22.0989642143
rhs 22 47.2872428894
update 22 3.21604514122
reconstruction 23 3.56899404526
boundary 23 6.72042798996
fluxes 23 22.1033520699
rhs 23 47.2873270512
update 23 3.2146229744
reconstruction 24 3.55170702934
boundary 24 6.72159385681
fluxes 24 22.1000461578
rhs 24 47.290293932
update 24 3.21659398079
reconstruction 25 3.56815004349
boundary 25 6.71984100342
fluxes 25 22.1021521091
rhs 25 47.286041975
update 25 3.21390604973
reconstruction 26 3.55214619637
boundary 26 6.72001504898
fluxes 26 22.1025469303
rhs 26 47.2869970798
update 26 3.21570205688
reconstruction 27 3.56779384613
boundary 27 6.72087883949
fluxes 27 22.098747015
rhs 27 47.2867188454
update 27 3.21311116219
reconstruction 28 3.55178999901
boundary 28 6.71959590912
fluxes 28 22.1008679867
rhs 28 47.2882170677
update 28 3.21508288383
reconstruction 29 3.56700015068
boundary 29 6.72002482414
fluxes 29 22.1052639484
rhs 29 47.2881338596
update 29 3.21371817589
reconstruction 30 3.55179786682
boundary 30 6.72022485733
fluxes 30 22.102861166
rhs 30 47.2895488739
update 30 3.21550798416
reconstruction 31 3.56706094742
boundary 31 6.72000193596
fluxes 31 22.1021661758
rhs 31 47.2832598686
update 31 3.21218180656
reconstruction 32 3.55284309387
boundary 32 6.80932807922
fluxes 32 22.1035480499
rhs 32 47.2864201069
update 32 3.21624898911
reconstruction 33 3.56657505035
boundary 33 6.72021508217
fluxes 33 22.0998950005
rhs 33 47.2876050472
update 33 3.21212911606
reconstruction 34 3.55232310295
boundary 34 6.71941995621
fluxes 34 22.1048579216
rhs 34 47.2850661278
update 34 3.21572399139
reconstruction 35 3.56717300415
boundary 35 6.72063493729
fluxes 35 22.0982899666
rhs 35 47.2867381573
update 35 3.21276092529
reconstruction 36 3.55258083344
boundary 36 6.72073698044
fluxes 36 22.1028609276
rhs 36 47.2913911343
update 36 3.21585488319
reconstruction 37 3.56874513626
boundary 37 6.7218439579
fluxes 37 22.1002440453
rhs 37 47.2894990444
update 37 3.21124792099
reconstruction 38 3.55263018608
boundary 38 6.71950697899
fluxes 38 22.1018631458
rhs 38 47.2855620384
update 38 3.21558308601
reconstruction 39 3.56857800484
boundary 39 6.71986603737
fluxes 39 22.1015808582
rhs 39 47.28693223
update 39 3.21358704567
reconstruction 40 3.55273103714
boundary 40 6.72091698647
fluxes 40 22.1009368896
rhs 40 47.2864940166
update 40 3.21673202515
reconstruction 41 3.56838488579
boundary 41 6.71940898895
fluxes 41 22.0993947983
rhs 41 47.2882261276
update 41 3.212018013
reconstruction 42 3.55088996887
boundary 42 6.71969509125
fluxes 42 22.1011269093
rhs 42 47.2860147953
update 42 3.21568202972
reconstruction 43 3.5678319931
boundary 43 6.72114396095
fluxes 43 22.1010918617
rhs 43 47.2924630642
update 43 3.21354794502
reconstruction 44 3.550604105
boundary 44 6.72024083138
fluxes 44 22.1020700932
rhs 44 47.2876160145
update 44 3.21535682678
reconstruction 45 3.569617033
boundary 45 6.71966290474
fluxes 45 22.104516983
rhs 45 47.2893979549
update 45 3.21328902245
reconstruction 46 3.55120897293
boundary 46 6.72101092339
fluxes 46 22.1008169651
rhs 46 47.2944710255
update 46 3.21580004692
reconstruction 47 3.56797504425
boundary 47 6.72039222717
fluxes 47 22.1005878448
rhs 47 47.2870671749
update 47 3.21370100975
reconstruction 48 3.55192303658
boundary 48 6.71891617775
fluxes 48 22.1009290218
rhs 48 47.2878010273
update 48 3.21532201767
reconstruction 49 3.56953406334
boundary 49 6.71963906288
fluxes 49 22.1037268639
rhs 49 47.2826468945
update 49 3.21358990669
reconstruction 50 3.55176281929
boundary 50 6.72247886658
fluxes 50 22.098279953
rhs 50 47.2901411057
update 50 3.21507191658
reconstruction 51 3.5687019825
boundary 51 6.72076416016
fluxes 51 22.0997059345
rhs 51 47.2970230579
update 51 3.2112891674
reconstruction 52 3.55290007591
boundary 52 6.71882200241
fluxes 52 22.1010260582
rhs 52 47.2904291153
update 52 3.21635913849
reconstruction 53 3.56768417358
boundary 53 6.72019100189
fluxes 53 22.1031069756
rhs 53 47.2948758602
update 53 3.21526789665
reconstruction 54 3.55132985115
boundary 54 6.7205491066
fluxes 54 22.1052761078
rhs 54 47.2953948975
update 54 3.2162759304
reconstruction 55 3.56704592705
boundary 55 6.72077584267
fluxes 55 22.1047070026
rhs 55 47.2929031849
update 55 3.21225500107
reconstruction 56 3.55133104324
boundary 56 6.71983098984
fluxes 56 22.1035511494
rhs 56 47.291023016
update 56 3.21607017517
reconstruction 57 3.56669807434
boundary 57 6.72096085548
fluxes 57 22.1059219837
rhs 57 47.2956409454
update 57 3.21263980865
reconstruction 58 3.55205082893
boundary 58 6.7247068882
fluxes 58 22.1052479744
rhs 58 47.2956290245
update 58 3.21495103836
reconstruction 59 3.56716609001
boundary 59 6.72062301636
fluxes 59 22.1067681313
rhs 59 47.2972869873
update 59 3.21177005768
reconstruction 60 3.55125403404
boundary 60 6.7203540802
fluxes 60 22.1070790291
rhs 60 47.2921581268
update 60 3.21555709839
reconstruction 61 3.56777501106
boundary 61 6.7191221714
fluxes 61 22.105946064
rhs 61 47.2958190441
update 61 3.21182608604
reconstruction 62 3.55285286903
boundary 62 6.71954321861
fluxes 62 22.1067268848
rhs 62 47.3370161057
update 62 3.21584010124
reconstruction 63 3.56760692596
boundary 63 6.72726202011
fluxes 63 22.156717062
rhs 63 47.3635449409
update 63 3.21335792542
reconstruction 64 3.55079197884
boundary 64 6.72653603554
fluxes 64 22.15269804
rhs 64 47.3600218296
update 64 3.21720194817
reconstruction 65 3.56883597374
boundary 65 6.72463798523
fluxes 65 22.1614928246
rhs 65 47.3610160351
update 65 3.21313405037
reconstruction 66 3.55181717873
boundary 66 6.72656488419
fluxes 66 22.1563811302
rhs 66 47.3611140251
update 66 3.21506309509
reconstruction 67 3.56804895401
boundary 67 6.7276930809
fluxes 67 22.1561069489
rhs 67 47.3636260033
update 67 3.21374607086
reconstruction 68 3.55066299438
boundary 68 6.72532296181
fluxes 68 22.155591011
rhs 68 47.3611421585
update 68 3.21429395676
reconstruction 69 3.56817698479
boundary 69 6.72567987442
fluxes 69 22.1605219841
rhs 69 47.3619010448
update 69 3.21243691444
reconstruction 70 3.55124282837
boundary 70 6.72728896141
fluxes 70 22.1576869488
rhs 70 47.3610420227
update 70 3.21574807167
reconstruction 71 3.56878781319
boundary 71 6.72770690918
fluxes 71 22.1563920975
rhs 71 47.361923933
update 71 3.21486997604
reconstruction 72 3.55286812782
boundary 72 6.72496700287
fluxes 72 22.1529541016
rhs 72 47.3602068424
update 72 3.21876001358
reconstruction 73 3.56697916985
boundary 73 6.72615790367
fluxes 73 22.1565270424
rhs 73 47.362046957
update 73 3.21200680733
reconstruction 74 3.55229997635
boundary 74 6.72652697563
fluxes 74 22.1534280777
rhs 74 47.3630719185
update 74 3.21602797508
reconstruction 75 3.56751203537
boundary 75 6.72601008415
fluxes 75 22.1563501358
rhs 75 47.3599789143
update 75 3.21412801743
reconstruction 76 3.55146217346
boundary 76 6.72776699066
fluxes 76 22.1557018757
rhs 76 47.3581569195
update 76 3.2173268795
reconstruction 77 3.56854104996
boundary 77 6.72551202774
fluxes 77 22.1566269398
rhs 77 47.3608429432
update 77 3.21414899826
reconstruction 78 3.55327606201
boundary 78 6.72635197639
fluxes 78 22.1567671299
rhs 78 47.3593170643
update 78 3.22025322914
reconstruction 79 3.56813597679
boundary 79 6.7268140316
fluxes 79 22.1525039673
rhs 79 47.3612539768
update 79 3.21153998375
reconstruction 80 3.55002307892
boundary 80 6.72619104385
fluxes 80 22.1558060646
rhs 80 47.3621249199
update 80 3.21619391441
reconstruction 81 3.56805205345
boundary 81 6.72511696815
fluxes 81 22.1600279808
rhs 81 47.3569169044
update 81 3.2142739296
reconstruction 82 3.54986596107
boundary 82 6.72740411758
fluxes 82 22.1541359425
rhs 82 47.36186409
update 82 3.21612787247
reconstruction 83 3.56721282005
boundary 83 6.72625803947
fluxes 83 22.1571819782
rhs 83 47.3585090637
update 83 3.21226811409
reconstruction 84 3.55297112465
boundary 84 6.72522091866
fluxes 84 22.1517860889
rhs 84 47.3564751148
update 84 3.21513009071
reconstruction 85 3.56785798073
boundary 85 6.72412991524
fluxes 85 22.1524560452
rhs 85 47.3599579334
update 85 3.21621990204
reconstruction 86 3.55187892914
boundary 86 6.72507500648
fluxes 86 22.1516120434
rhs 86 47.3601629734
update 86 3.21688103676
reconstruction 87 3.56636810303
boundary 87 6.72681593895
fluxes 87 22.1503460407
rhs 87 47.3560788631
update 87 3.22049307823
reconstruction 88 3.55258178711
boundary 88 6.72562885284
fluxes 88 22.153290987
rhs 88 47.3598690033
update 88 3.21626091003
reconstruction 89 3.56656098366
boundary 89 6.72703003883
fluxes 89 22.150947094
rhs 89 47.3571469784
update 89 3.21216106415
reconstruction 90 3.55157899857
boundary 90 6.72680997849
fluxes 90 22.1523621082
rhs 90 47.3573188782
update 90 3.21621799469
reconstruction 91 3.56859302521
boundary 91 6.72464489937
fluxes 91 22.152930975
rhs 91 47.3558149338
update 91 3.21213698387
reconstruction 92 3.55220580101
boundary 92 6.72484993935
fluxes 92 22.1547498703
rhs 92 47.3564279079
update 92 3.21553897858
reconstruction 93 3.56763696671
boundary 93 6.72668385506
fluxes 93 22.1497581005
rhs 93 47.3171350956
update 93 3.21145987511
reconstruction 94 3.55097103119
boundary 94 6.72147488594
fluxes 94 22.107517004
rhs 94 47.3030591011
update 94 3.21484804153
reconstruction 95 3.56854820251
boundary 95 6.72029590607
fluxes 95 22.1046290398
rhs 95 47.2926800251
update 95 3.21328783035
reconstruction 96 3.55024790764
boundary 96 6.7200319767
fluxes 96 22.1018321514
rhs 96 47.2924208641
update 96 3.21640110016
reconstruction 97 3.56855797768
boundary 97 6.71992278099
fluxes 97 22.1044149399
rhs 97 47.2916359901
update 97 3.21369600296
reconstruction 98 3.55002403259
boundary 98 6.71940994263
fluxes 98 22.1011791229
rhs 98 47.2977128029
update 98 3.21397686005
reconstruction 99 3.56750202179
boundary 99 6.72016406059
fluxes 99 22.1004149914
rhs 99 47.2704019547
update 99 3.21365118027
reconstruction 100 3.55012702942
boundary 100 6.7179608345
fluxes 100 22.0962760448
rhs 100 47.2698390484
update 100 3.21588993073
reconstruction 101 3.56791496277
boundary 101 6.72559404373
fluxes 101 22.1956179142
rhs 101 47.3848009109
update 101 3.22404694557
reconstruction 102 3.55855107307
boundary 102 6.73405313492
fluxes 102 22.2335410118
rhs 102 47.4602279663
update 102 3.22515487671
reconstruction 103 3.5601849556
boundary 103 6.75495886803
fluxes 103 22.3635191917
rhs 103 47.4680891037
update 103 3.22306489944
reconstruction 104 3.56461691856
boundary 104 6.75271606445
fluxes 104 22.2768599987
rhs 104 47.4695580006
update 104 3.22287511826
reconstruction 105 3.56792616844
boundary 105 6.7565870285
fluxes 105 22.3106219769
rhs 105 47.472317934
update 105 3.22119808197
reconstruction 106 3.56417608261
boundary 106 6.73294997215
fluxes 106 22.1852300167
rhs 106 47.4652969837
update 106 3.22204709053
reconstruction 107 3.56854486465
boundary 107 6.75833392143
fluxes 107 22.2766599655
rhs 107 47.4579219818
update 107 3.22179818153
reconstruction 108 3.56415891647
boundary 108 6.76145792007
fluxes 108 22.3409740925
rhs 108 47.467302084
update 108 3.2225151062
reconstruction 109 3.56711196899
boundary 109 6.75805997849
fluxes 109 22.3385288715
rhs 109 47.4623508453
update 109 3.22086286545
reconstruction 110 3.56413006783
boundary 110 6.74086999893
fluxes 110 22.2730250359
rhs 110 47.4369888306
update 110 3.22093892097
reconstruction 111 3.56690907478
boundary 111 6.73256993294
