v_est_minus mean rank 1.8953309693288012
v_est_plus mean rank 1.8953309693288012
initialization 497.023895025
reconstruction 1 0.0176689624786
boundary 1 0.509696960449
fluxes 1 5.69862818718
rhs 1 26.2524349689
update 1 1.4580540657
reconstruction 2 0.00901699066162
boundary 2 0.796637058258
fluxes 2 13.4209928513
rhs 2 30.2504208088
update 2 1.90769100189
reconstruction 3 0.00951385498047
boundary 3 0.773394107819
fluxes 3 13.731315136
rhs 3 30.9572601318
update 3 1.94149804115
reconstruction 4 0.00973010063171
boundary 4 0.778702020645
fluxes 4 14.0429968834
rhs 4 32.0649511814
update 4 1.94818902016
reconstruction 5 0.00965023040771
boundary 5 0.790576934814
fluxes 5 14.1621170044
rhs 5 35.0169360638
update 5 2.60293197632
reconstruction 6 0.0104570388794
boundary 6 1.04601478577
fluxes 6 20.9881980419
rhs 6 38.4981791973
update 6 2.14352488518
reconstruction 7 0.0106709003448
boundary 7 1.27509784698
fluxes 7 21.5960819721
rhs 7 36.525993824
update 7 2.01681494713
reconstruction 8 0.00982809066772
boundary 8 0.905166149139
fluxes 8 14.7009308338
rhs 8 34.9412300587
update 8 2.03025484085
reconstruction 9 0.00970005989075
boundary 9 0.998443841934
fluxes 9 14.9212079048
rhs 9 34.0845570564
update 9 2.04787683487
reconstruction 10 0.00976586341858
boundary 10 0.975889921188
fluxes 10 15.0545461178
rhs 10 34.4111349583
update 10 2.0632879734
reconstruction 11 0.00974702835083
boundary 11 0.997750043869
fluxes 11 15.0463638306
rhs 11 34.690956831
update 11 2.06887507439
reconstruction 12 0.00972294807434
boundary 12 0.994324922562
fluxes 12 15.1288061142
rhs 12 35.9588699341
update 12 2.07902193069
reconstruction 13 0.0097861289978
boundary 13 1.07492899895
fluxes 13 15.2585949898
rhs 13 35.9467859268
update 13 2.09834098816
reconstruction 14 0.0097599029541
boundary 14 0.998142004013
fluxes 14 15.3688280582
rhs 14 35.7766900063
update 14 2.10897016525
reconstruction 15 0.00974607467651
boundary 15 1.00188207626
fluxes 15 15.5409858227
rhs 15 36.233050108
update 15 2.11805105209
reconstruction 16 0.00978493690491
boundary 16 1.00516200066
fluxes 16 15.7118768692
rhs 16 36.4085810184
update 16 2.12381696701
reconstruction 17 0.00977182388306
boundary 17 1.01053595543
fluxes 17 15.8586530685
rhs 17 36.815237999
update 17 2.12588691711
reconstruction 18 0.00972604751587
boundary 18 1.01591587067
fluxes 18 15.9406561852
rhs 18 37.1781878471
update 18 2.1535141468
reconstruction 19 0.00978302955627
boundary 19 1.02383995056
fluxes 19 15.9876058102
rhs 19 37.5905499458
update 19 2.15759301186
reconstruction 20 0.00977396965027
boundary 20 1.02706313133
fluxes 20 15.9694750309
rhs 20 37.6109659672
update 20 2.14820098877
reconstruction 21 0.00974702835083
boundary 21 1.01796984673
fluxes 21 16.0414581299
rhs 21 37.8443861008
update 21 2.16634702682
reconstruction 22 0.00981593132019
boundary 22 1.02455615997
fluxes 22 16.1605138779
rhs 22 37.9922299385
update 22 2.16517400742
reconstruction 23 0.00977683067322
boundary 23 1.01850104332
fluxes 23 16.2465209961
rhs 23 38.1352701187
update 23 2.18191194534
reconstruction 24 0.00972509384155
boundary 24 1.02239608765
fluxes 24 16.3357231617
rhs 24 38.4146120548
update 24 2.1837990284
reconstruction 25 0.00975489616394
boundary 25 1.03108716011
fluxes 25 16.3589260578
rhs 25 38.7187929153
update 25 2.19869017601
reconstruction 26 0.00978493690491
boundary 26 1.02807021141
fluxes 26 16.4963920116
rhs 26 38.9773139954
update 26 2.20935201645
reconstruction 27 0.00974106788635
boundary 27 1.02808904648
fluxes 27 16.5502889156
rhs 27 39.1412088871
update 27 2.21063494682
reconstruction 28 0.00979590415955
boundary 28 1.02709007263
fluxes 28 16.7158441544
rhs 28 39.1817429066
update 28 2.21974110603
reconstruction 29 0.00984382629395
boundary 29 1.03646802902
fluxes 29 16.7590870857
rhs 29 39.705657959
update 29 2.23227000237
reconstruction 30 0.00983810424805
boundary 30 1.03768014908
fluxes 30 16.9501080513
rhs 30 41.6089060307
update 30 2.23283004761
reconstruction 31 0.0097930431366
boundary 31 1.16165304184
fluxes 31 17.024367094
rhs 31 46.9971818924
update 31 2.30723714828
reconstruction 32 0.0107741355896
boundary 32 1.29961109161
fluxes 32 17.0375630856
rhs 32 47.7997460365
update 32 2.2100610733
reconstruction 33 0.0097930431366
boundary 33 1.0332801342
fluxes 33 16.8336389065
rhs 33 40.0456650257
update 33 2.25143098831
reconstruction 34 0.00977778434753
boundary 34 1.04539489746
fluxes 34 17.2300028801
rhs 34 40.4686257839
update 34 2.25019812584
reconstruction 35 0.00978899002075
boundary 35 1.03223800659
fluxes 35 17.0398831367
rhs 35 41.8450000286
update 35 2.27835702896
reconstruction 36 0.00975584983826
boundary 36 1.03917193413
fluxes 36 17.2545759678
rhs 36 41.7097229958
update 36 2.26471996307
reconstruction 37 0.00978088378906
boundary 37 0.923375844955
fluxes 37 17.2217550278
rhs 37 35.6314098835
update 37 2.2738931179
reconstruction 38 0.00979614257812
boundary 38 1.34356307983
fluxes 38 17.3325591087
rhs 38 49.0115509033
update 38 2.47063302994
reconstruction 39 0.0105800628662
boundary 39 1.08448195457
fluxes 39 25.6755180359
rhs 39 47.8475689888
update 39 2.29490804672
reconstruction 40 0.0098979473114
boundary 40 1.0476360321
fluxes 40 17.5244629383
rhs 40 44.0910069942
update 40 2.28454494476
reconstruction 41 0.00979495048523
boundary 41 1.03982710838
fluxes 41 17.6183021069
rhs 41 38.2944028378
update 41 2.28690099716
reconstruction 42 0.00977087020874
boundary 42 1.03295207024
fluxes 42 17.5882029533
rhs 42 43.5087080002
update 42 2.3017821312
reconstruction 43 0.00980687141418
boundary 43 0.95686006546
fluxes 43 17.5992050171
rhs 43 42.576526165
update 43 2.32225179672
reconstruction 44 0.00981020927429
boundary 44 1.03948807716
fluxes 44 17.8117208481
rhs 44 48.1707968712
update 44 2.34866881371
